old_ncs_line_code,new_ncs_line_code
B001Aa,B001Aa
B001Bb,B001Bb
B001Cb,B001Cb
B001Db,B001Db
B001Ea,B001Ea
B001Fa,B001Fa
B001Ga,B001Ga
B001Hb,B001Hb
B001Ia,B001Ia
B001Ja,B001Ja
B001Ka,B001Ka
B001Lb,B001Lb
B001Mb,B001Mb
B002Aa,B002Aa
B002Bb,B002Bb
B002Cb,B002Cb
B003Ab,B003Ab
B003Bb,B003Bb
B003Ca,B003Ca
B003Da,B003Da
B004Aa,B004Aa
B004Bb,B004Bb
B004Ca,B004Ca
B004Db,B004Db
B004Ea,B004Ea
B004Fa,B004Fa
B004Ga,B004Ga
B005Aa,B005Aa
B005Ba,B005Ba
B005Cb,B005Cb
B005Db,B005Db
B006Ab,B006Ab
B006Ba,B006Ba
B007Ab,B007Ab
B007Ba,B007Ba
B007Cb,B007Cb
B007Da,B007Da
B007Ea,B007Ea
B007Fa,B007Fa
B007Ga,B007Ga
B007Hb,B007Hb
B007Ib,B007Ib
B007Ja,B007Ja
B008Ab,B008Ab
B008Ba,B008Ba
B009Ab,B009Ab
B009Ba,B009Ba
B010Aa,B010Aa
B010Bb,B010Bb
B011Aa,B011Aa
B011Bb,B011Bb
B011Ca,B011Ca
B011Da,B011Da
B011Eb,B011Eb
B011Fb,B011Fb
B012Ab,B012Ab
B012Ba,B012Ba
B013Ab,B013Ab
B013Ba,B013Ba
B014Ab,B014Ab
B014Bb,B014Bb
B014Ca,B014Ca
B014Da,B014Da
B014Ea,B014Ea
B015Aa,B015Aa
B015Ba,B015Ba
B015Cb,B015Cb
B015Db,B015Db
B015Eb,B015Eb
B015Fa,B015Fa
B015Ga,B015Ga
B015Ha,B015Ha
B015Ib,B015Ib
B016Aa,B016Aa
B016Bb,B016Bb
B017Ab,B017Ab
B017Ba,B017Ba
B018Aa,B018Aa
B018Ba,B018Ba
B018Cb,B018Cb
B018Da,B018Da
B018Ea,B018Ea
B018Fb,B018Fb
B018Gb,B018Gb
B018Ha,B018Ha
B018Ib,B018Ib
B018Jb,B018Jb
B018Ka,B018Ka
B018Lb,B018Lb
B018Ma,B018Ma
B019Aa,B019Aa
B019Bb,B019Bb
B020Aa,B020Aa
B020Bb,B020Bb
B020Ca,B020Ca
B020Db,B020Db
B021Ab,B021Ab
B021Ba,B021Ba
B023Ab,B023Ab
B023Ba,B023Ba
B024Aa,B024Aa
B024Bb,B024Bb
B025Ab,B025Ab
B025Ba,B025Ba
B026Ab,B026Ab
B026Ba,B026Ba
B029Ab,B029Ab
B029Bb,B029Bb
B029Ca,B029Ca
B029Db,B029Db
B029Eb,B029Eb
B029Fa,B029Fa
B029Gb,B029Gb
B030Ab,B030Ab
B030Ba,B030Ba
B030Ca,B030Ca
B030Db,B030Db
B030Eb,B030Eb
B030Fa,B030Fa
B031Aa,B031Aa
B031Bb,B031Bb
B032Aa,B032Aa
B033Ab,B033Ab
B035Ab,B035Ab
B035Ba,B035Ba
B035Ca,B035Ca
B035Db,B035Db
B036Ab,B036Ab
B036Ba,B036Ba
B040Ab,B040Ab
B050Ab,B050Ab
B050Bb,B050Bb
B050Cb,B050Cb
B050Da,B050Da
B051Ab,B051Ab
B051Ba,B051Ba
B052Ab,B052Ab
B052Ba,B052Ba
B052Cb,B052Cb
B053Aa,B053Aa
B053Bb,B053Bb
B055Ab,B055Ab
B055Ba,B055Ba
B057Ab,B057Ab
B057Ba,B057Ba
B058Ab,B058Ab
B060Aa,B060Aa
B060Bb,B060Bb
B092Aa,B092Aa
B092Bb,B092Bb
B115Aa,B115Aa
B115Bb,B115Bb
B185Aa,B185Aa
B185Bb,B185Bb
B199Ab,B199Ab
B199Ba,B199Ba
B200Ab,B200Ab
B200Ba,B200Ba
B201Ab,B201Ab
B201Ba,B201Ba
B202Aa,B202Aa
B202Bb,B202Bb
B203Ab,B203Ab
B204Ab,B204Ab
B205Ab,B205Ab
B205Ba,B205Ba
B206Ab,B206Ab
B206Ba,B206Ba
B207Ab,B207Ab
B207Ba,B207Ba
B208Ab,B208Ab
B208Ba,B208Ba
B209Aa,B209Aa
B209Bb,B209Bb
B211Ab,B211Ab
B211Ba,B211Ba
B212Ab,B212Ab
B212Ba,B212Ba
B213Ab,B213Ab
B213Ba,B213Ba
B214Aa,B214Aa
B214Bb,B214Bb
B215Ab,B215Ab
B215Ba,B215Ba
B216Ab,B216Ab
B216Ba,B216Ba
B217Ab,B217Ab
B501Aa,B501Aa
B501Bb,B501Bb
B501Ca,B501Ca
B501Db,B501Db
B502Aa,B502Aa
B502Bb,B502Bb
B505Ab,B505Ab
B505Ba,B505Ba
B511Ab,B511Ab
B511Ba,B511Ba
B511Cb,B511Cb
B511Db,B511Db
B511Ea,B511Ea
B561Ab,B561Ab
B561Ba,D561Ba
D101Ab,D101Ab
D101Bb,D101Bb
D101Cb,D101Cb
D103Ab,D103Ab
D103Ba,D103Ba
D103Cb,D103Cb
D103Da,D103Da
D103Eb,D103Eb
D103Fa,D103Fa
D103Gb,D103Gb
D103Ha,D103Ha
D107Aa,D107Aa
D107Bb,D107Bb
D110Ab,D110Ab
D110Bb,D110Bb
D110Cb,D110Cb
D110Db,D110Db
D110Eb,D110Eb
D110Fa,D110Fa
D111Ab,D111Ab
D111Bb,D111Bb
D111Cb,D111Cb
D111Db,D111Db
D112Ab,D112Ab
D112Ba,D112Ba
D112Ca,D112Ca
D112Db,D112Db
D120Aa,D120Aa
D120Bb,D120Bb
D181Ab,D181Ab
D182Ab,D182Ab
D193Ab,D193Ab
D193Bb,D193Bb
D215Ab,D215Ab
D215Ba,D215Ba
D215Cb,D215Cb
D215Da,D215Da
D216Aa,D216Aa
D216Bb,D216Bb
D217Aa,D217Aa
D217Bb,D217Bb
D218Aa,D218Aa
D218Bb,D218Bb
D219Ab,D219Ab
D219Bb,D219Bb
D219Ca,D219Ca
D219Db,D219Db
D219Ea,D219Ea
D223Aa,D223Aa
D223Bb,D223Bb
D223Cb,D223Cb
D223Db,D223Db
D223Ea,D223Ea
D223Fa,D223Fa
D224Aa,D224Aa
D224Ba,D224Ba
D224Ca,D224Ca
D224Db,D224Db
D224Eb,D224Eb
D225Ab,D225Ab
D225Ba,D225Ba
D226Ab,D226Ab
D226Ba,D226Ba
D226Cb,D226Cb
D226Db,D226Db
D232Aa,D232Aa
D232Bb,D232Bb
D283Ab,D283Ab
D284Ab,D284Ab
D291Ab,D291Ab
D291Ba,D291Ba
D291Ca,D291Ca
D291Db,D291Db
D292Aa,D292Aa
D292Bb,D292Bb
D292Ca,D292Ca
D301Ab,D301Ab
D301Bb,D301Bb
D301Cb,D301Cb
D302Ab,D302Ab
D302Bb,D302Bb
D302Cb,D302Cb
D303Ab,D303Ab
D303Bb,D303Bb
D304Ab,D304Ab
D304Bb,D304Bb
D305Ab,D305Ab
D305Bb,D305Bb
D308Ab,D308Ab
D308Bb,D308Bb
D308Ca,D308Ca
D308Db,D308Db
D310Ab,D310Ab
D310Bb,D310Bb
D310Ca,D310Ca
D310Da,D310Da
D312Ab,D312Ab
D318Ab,D318Ab
D385Ab,D385Ab
D401Ab,D401Ab
D401Ba,D401Ba
D401Cb,D401Cb
D401Db,D401Db
D401Ea,D401Ea
D401Fb,D401Fb
D401Ga,D401Ga
D402Aa,D402Aa
D402Bb,D402Bb
D403Ab,D403Ab
D403Bb,D403Bb
D403Ca,D403Ca
D403Da,D403Da
D405Ab,D405Ab
D405Ba,D405Ba
D405Ca,D405Ca
D407Aa,D407Aa
D407Bb,D407Bb
D407Cb,D407Cb
D407Db,D407Db
D407Eb,D407Eb
D409Ab,D409Ab
